Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK
Date,,,,,,
2024-11-29,30.897579193115234,32.25,32.75,32.25,32.5,18006700
2024-12-02,30.897579193115234,32.25,32.25,32.0,32.25,24802600
2024-12-03,30.897579193115234,32.25,32.5,32.25,32.25,17691100
2024-12-04,30.897579193115234,32.25,32.75,32.0,32.5,30338600
2024-12-06,30.897579193115234,32.25,32.5,32.0,32.25,24310500
2024-12-09,30.658063888549805,32.0,32.25,32.0,32.0,12600200
2024-12-11,30.897579193115234,32.25,32.5,32.0,32.25,33668400
2024-12-12,30.418548583984375,31.75,32.25,31.75,32.0,21679200
2024-12-13,30.418548583984375,31.75,32.0,31.75,31.75,5701800
2024-12-16,30.658063888549805,32.0,32.5,31.75,31.75,23994800
2024-12-17,30.897579193115234,32.25,32.25,32.0,32.25,18774500
2024-12-18,31.137096405029297,32.5,32.5,32.0,32.25,29184800
2024-12-19,30.418548583984375,31.75,32.5,31.75,32.25,35334500
2024-12-20,29.69999885559082,31.0,31.75,30.5,31.75,78567400
2024-12-23,29.939516067504883,31.25,31.25,30.75,31.0,18484200
2024-12-24,30.179031372070312,31.5,31.5,31.0,31.25,16269300
2024-12-25,30.179031372070312,31.5,31.75,31.25,31.5,14585100
2024-12-26,29.939516067504883,31.25,32.0,31.25,31.5,16854100
2024-12-27,30.418548583984375,31.75,32.0,31.25,31.5,21344300
2024-12-30,30.418548583984375,31.75,32.0,31.75,31.75,12242200
2025-01-02,30.418548583984375,31.75,32.0,31.5,31.75,15869400
2025-01-03,30.658063888549805,32.0,32.0,31.75,31.75,11683300
2025-01-06,30.658063888549805,32.0,32.5,32.0,32.25,21436600
2025-01-07,30.658063888549805,32.0,32.0,31.5,32.0,27710300
2025-01-08,30.179031372070312,31.5,32.0,31.5,32.0,23137600
2025-01-09,30.179031372070312,31.5,32.0,31.25,31.5,19876400
2025-01-10,29.939516067504883,31.25,31.75,31.0,31.5,32576800
2025-01-13,29.939516067504883,31.25,31.5,31.0,31.25,23360500
2025-01-14,28.9814510345459,30.25,31.25,30.0,31.25,74724200
2025-01-15,29.939516067504883,31.25,31.25,30.25,30.25,27152600
2025-01-16,29.69999885559082,31.0,31.5,30.75,31.25,47515200
2025-01-17,29.46048355102539,30.75,31.25,30.75,31.0,32420200
2025-01-20,29.46048355102539,30.75,31.0,30.5,31.0,18689100
2025-01-21,29.939516067504883,31.25,31.25,30.5,31.0,40292900
2025-01-22,29.939516067504883,31.25,31.5,31.0,31.25,20600800
2025-01-23,29.220966339111328,30.5,31.25,30.5,31.0,44482600
2025-01-24,29.46048355102539,30.75,31.0,30.5,30.5,26775900
2025-01-27,29.46048355102539,30.75,31.25,30.5,30.75,19802900
2025-01-28,29.69999885559082,31.0,31.25,30.75,30.75,15403000
2025-01-29,29.69999885559082,31.0,31.25,30.75,31.0,4736300
2025-01-30,29.69999885559082,31.0,31.0,30.75,31.0,4855300
2025-01-31,30.179031372070312,31.5,31.75,31.0,31.0,40135000
2025-02-03,29.69999885559082,31.0,31.0,30.5,31.0,50620400
2025-02-04,29.46048355102539,30.75,31.25,30.25,31.0,39102300
2025-02-05,28.74193572998047,30.0,30.75,30.0,30.75,35088900
2025-02-06,28.9814510345459,30.25,30.5,30.0,30.0,38887600
2025-02-07,29.46048355102539,30.75,30.75,30.0,30.25,41157300
2025-02-10,28.9814510345459,30.25,30.75,30.0,30.5,48121500
2025-02-11,29.220966339111328,30.5,30.75,30.25,30.25,14977900
2025-02-13,28.9814510345459,30.25,30.75,30.25,30.5,30759000
2025-02-14,29.69999885559082,31.0,31.0,30.25,30.25,58961600
2025-02-17,29.939516067504883,31.25,31.5,31.0,31.5,41727400
2025-02-18,30.179031372070312,31.5,31.5,30.75,31.0,39307100
2025-02-19,30.179031372070312,31.5,32.0,31.25,31.5,40329100
2025-02-20,30.179031372070312,31.5,31.75,31.0,31.25,43379300
2025-02-21,30.897579193115234,32.25,32.25,31.5,31.75,53283400
2025-02-24,30.897579193115234,32.25,32.5,32.0,32.25,35309900
